,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
9742,LINC00493,MECP2,CDC23,TBRG4,TSHZ2,MGAT4A,PPIL2,PRPF4
9743,SLC35B2,TC2N,ZNF446,TMEM208,TRMU,EFCAB11,HIST1H4C,NPDC1
9744,RP5-1125A11.1,EXOC4,PROC,RP11-214N9.1,FCGR1A,BOLA3,SFT2D3,MAPK3
9745,CCL3L1,RP11-119F19.2,ACOT4,WBP1,CATSPERG,ZNF142,LZTR1,RDX
9746,SFR1,ORC5,LSM14B,AC147651.3,NAPG,RRM1,PPRC1,RALGPS2
9747,RP11-473M20.9,ELK1,PEX7,RP11-267N12.3,JARID2,TMEM127,SLFN13,SPEN
9748,FTO,PREB,MAP2K5,FAU,ILF3,RP11-428J1.5,TNFSF4,SNX22
9749,UBA6,JUP,CTD-2054N24.2,NR2F6,FAM227B,CDYL2,RP11-378A13.2,NCAPH2
9750,TCAP,REV3L,HIST1H2AL,SF3A1,ARMC2,KANSL1L,SLC4A1AP,PTAR1
9751,RRAS,SSBP3,PRKCZ,CASP3,ZNF28,MAP2K5,SLC22A15,RIPK1
9752,POLR1B,CLP1,NHP2,KIF1B,RP11-672L10.6,MAGIX,TARSL2,PCYT2
9753,INCENP,AC003075.4,C6orf25,DNMBP,NOXA1,THOC1,KIAA1009,EIF4E3
9754,SLC25A43,WDFY1,ATP6AP1L,PHF20,POLR3H,RNGTT,SUGP2,ATXN1L
9755,PCYOX1L,AFAP1L2,IRF2BP1,ACTL6A,RP13-1032I1.7,NPHP1,TCTA,TBL2
9756,NCAPG2,TLE3,ZFP57,TMEM171,GCSH,KLF5,TRA2A,FOXJ3
9757,TXNDC5,SLC35B3,ATP10A,BCCIP,CENPM,TCEANC,COX10,ZBTB11
9758,HS1BP3,HAT1,TOR1AIP1,HMGN3-AS1,VPS54,NKD1,RP11-262H14.1,LGMN
9759,EPG5,ETV5,UBE2F,AKAP8L,PXMP2,FTX,RP11-313P13.5,PIGU
9760,ZNF436,TRMT5,SENCR,CDS2,AP4S1,ZZEF1,AC023490.1,G6PC3
9761,ZCCHC18,STAG3,HCFC1,RP11-73E17.2,IRF4,LRRC28,ZFP62,CACNA2D3
9762,CXorf38,TTC9C,GOT1,HSD17B4,STK10,AVL9,BTG3,SLC46A3
9763,ZNF764,UEVLD,SLC25A16,ZNF300,SERINC4,DDX43,NBEAL2,MT1E
9764,ATG9A,IARS2,PPARD,ECE2,PLCL1,MYO1C,RAB40B,RNF169
9765,CTD-2350C19.2,RP11-799D4.4,AC013264.2,ALDH16A1,ATPAF1,RP11-110I1.13,EDEM2,DLGAP1-AS1
9766,EIF3A,REEP3,TRIM35,ABLIM1,SPAG9,LTBP4,TXNRD3,RP5-940J5.9
9767,NHLRC4,UBASH3B,COMMD8,RETN,TMEM52,LIPT1,IKBKAP,SNX15
9768,ZNF445,C16orf98,NSUN6,MRPL30,PNPLA4,NBPF12,DNAJC27-AS1,ENTPD6
9769,RBL1-1,MOB3C,DOCK3,RP11-796G6.2,NUP85,HNRNPA1L2,ITGB1,FEM1A
9770,ASRGL1,GALNT11,CCNJ,DZANK1,MTM1,RP11-317J10.2,TMEM87B,TTLL3
9771,ZNF513,HPS4,RHEBL1,ST7L,CACNA2D3,SART3,AURKB,SNX13
9772,SPAG9,PDCL,RP11-14N7.2,SDSL,PIK3CD,AGA,GALK2,DIAPH2
9773,RBM23,IRF2BP1,C9orf156,THNSL2,TMEM237,TST,REPS2,VAMP4
9774,ABCA7,FAM129C,COL6A2,LINC00528,IFNG-AS1,MED22,IQCG,CRYZ
9775,SF3A3,ZNF791,RFX3,SMIM14,MTR,EPHB3,HOMER1,SMN1
9776,C19orf82,PRRT3,HYAL3,MBD4,TMEM135,INTS12,SCLY,PUS3
9777,NAT10,RNF26,GNAQ,C12orf42,ZNF180,RGAG4,CLPTM1L,C6orf203
9778,KPNA5,KLHL9,NICN1,C9orf38,NDST1,ZRANB1,GPRIN3,THOC5
9779,DIP2B,LSM10,CBWD5,FBRSL1,RRN3,SLC25A28,FCGR3B,LACTB2
9780,KIAA1731,EPB41L4A-AS1,METAP1,LRP2BP,PQLC2,TNFSF14,TMCC3,APEX2
9781,CARD9,KIAA1430,NFKBIL1,BOLA3,MCCC2,GPR18,SEMA4D,ZDHHC16
9782,SSR2,TNFRSF4,MXD1,CACNA1I,LIMS2,NEO1,SLC22A5,BCL2L11
9783,CTD-2270L9.4,B4GALNT3,EPHA1-AS1,RELB,CTD-2341M24.1,IFT74,LONP1,CTSO
9784,RP11-690G19.3,FRYL,MTIF3,AP001189.4,USP48,PABPC4,FGD6,PRKAG2-AS1
9785,ARHGEF40,MCEE,FAM228B,ZDHHC4,RP11-798M19.6,USP22,KLRF1,KDM4B
9786,GANC,ITLN1,THBD,ZFAND3,DUSP19,VPS8,ARHGEF18,BRI3BP
9787,GBA2,LMO7,ELMO1,EIF4E3,PLS3,SULT1B1,PRKAB2,ERAL1
9788,ZNF703,EPHX3,THAP9,STAMBPL1,FUK,CPSF7,CD55,PDXDC1
9789,DHCR24,ZNF880,LONRF1,TRIM32,TRIQK,KIAA0947,BDH1,FAM134B
9790,TTC1,TLR10,DHRS7B,RP11-169K16.9,BAIAP2,EBLN2,SLC35B3,DUSP18
9791,SOWAHD,WDR59,SNAI3,PARK7,ITGA6,SLC43A2,PHF10,EXOC6
9792,POGZ,PLCG2,KLHDC10,EID2,CEP78,PLEKHB1,RP11-4F5.2,TTC32
9793,SETD1A,FLYWCH1,RP11-386G11.10,C21orf49,FAM53A,KSR1,SNX21,GLS
9794,MLF2,RC3H2,CCDC62,STAC3,PGM2L1,ADAT3,EFHD2,R3HDM1
9795,SNX13,SIRT3,DUSP7,AC145212.1,POC1A,IGF1R,STK24,ACAD8
9796,KCNN1,ZDHHC7,LRR1,MBD6,PSMD4,RNF115,TRMT13,DUSP3
9797,EEPD1,ESCO1,PIAS2,L3MBTL1,TLR4,GPR160,TXK,SCO1
9798,ARHGEF3,ARHGAP12,SEPHS1,FAM120AOS,MXD1,CEP70,RP11-15A1.3,SMARCD3
9799,STX5,ARRDC3,SLC19A2,C12orf5,PAN2,ACIN1,PJA2,QTRTD1
9800,GALNT1,RP13-582O9.7,FCGR1B,C15orf26,ZNF304,REPS2,PHF20L1,SSR1
9801,TCF20,SFXN4,SMAD7,TMEM229B,C16orf58,RABIF,COPG2,CYP4V2
9802,RANBP9,CNRIP1,WNT7A,TNS1,IFT80,ZNF83,TMLHE,GLE1
9803,CFP,EDRF1,ARID1B,TOPORS-AS1,FAM63A,CHD8,FN3K,TTYH2
9804,AC021188.4,CLK2,ZEB2-AS1,NPIPB6,TTC7A,CTD-2192J16.22,FKBP8,DENND1B
9805,ZNF100,ZNF524,CD300LF,CAT,PARP12,VAMP7,GPAT2,CACNA2D4
9806,TBCK,C12orf73,DNAJC24,SPATA5L1,CTC-459F4.3,SGSH,CTD-2260A17.2,TPK1
9807,IGFBP4,TMEM237,RP5-940J5.9,UBFD1,RP11-849F2.7,MX1,CLDN15,ZNF780A
9808,VAPB,JMJD8,TTYH2,ATP10A,USP13,MEF2D,C8orf44,PPP2R1A
9809,RP11-533E19.7,CENPK,GCN1L1,ZBTB45,CTNNAL1,TMEM150B,COG8,TRMT10B
9810,INO80,PNPT1,TMEM79,SSB,LIME1,SLC25A32,ELAVL1,YLPM1
9811,C19orf40,AMBRA1,ABCC3,RP5-1091N2.9,TMEM176A,POLM,FOXRED2,SESN3
9812,HEATR2,NPHP3,AC079922.3,RP11-420G6.4,TSPYL2,ZDHHC18,NUFIP1,FANCF
9813,MED1,AC005306.3,CPEB2,MRI1,RBM12,C1D,UCK1,GABPB2
9814,SLC24A4,R3HCC1L,UBBP4,IL6ST,HCAR3,WDR62,INPP5B,NAA35
9815,RP11-804H8.6,RXRB,CCDC47,DICER1-AS1,MAML1,TNPO3,RP11-542M13.3,CCNT2
9816,LMNB2,TTC9,C18orf21,TMEM91,HIST1H2BG,GLB1,ZNF691,ZNF675
9817,MCM2,C8orf76,TP53BP1,CEBPG,ARID1B,ATL1,CLIP1,MTHFR
9818,ZNF786,LRRK1,DAPK3,RGMB,ZNF10,SCAMP4,RIMKLB,TARSL2
9819,RP11-385D13.3,ICK,RAB11FIP2,TRPM7,SLC25A53,TBCE,ISCA2,TPT1-AS1
9820,PUM1,ST6GALNAC4,GP9,HNRNPF,PAK4,NUMA1,CA5B,TBC1D23
9821,CYB561,VAC14,MYSM1,ZHX2,SPATA5,HAVCR2,HIST1H1E,S100PBP
9822,GNL1,RP11-849F2.8,LTV1,RASD1,RP11-511I2.2,HCFC1-AS1,MCM4,UBASH3A
9823,SLC12A2,BTG3,DPP3,AAED1,COPS7A,DNAJB12,PPP2CA,MTIF2
9824,SAV1,CYB5A,CECR5,ANKRD11,SHQ1,ZNF717,RP11-244H3.4,EEA1
9825,FMR1,CEP85,C22orf29,TTL,ABHD16A,KIAA1715,LTA,NFKBID
9826,DDX17,ABCB7,ZNF787,PARS2,CCDC7,SPAG16,SNAP47,CAMK2D
9827,RGP1,TTC32,RP11-138I1.4,ZNF615,TUSC2,RP11-215G15.5,PKD1,SESTD1
9828,C12orf43,LRIF1,PURA,LCMT2,CNNM2,VEGFA,C17orf72,ZNF451
9829,KLF16,C6orf203,RP11-85F14.5,CDHR3,SMPDL3A,AC027763.2,KIAA0247,SUMF1
9830,TNFRSF13C,RNF19A,KIF13B,NCR3LG1,PLEKHG1,TLR2,FAM102B,N4BP1
9831,ZNF724P,EXOSC9,MZF1,TBL1X,RP11-809O17.1,TSSC1,SLC26A11,PPIL4
9832,CPEB4,TRMT10A,HP1BP3,ZNF670,TCTN2,SUPT5H,C16orf91,C9orf114
9833,GGNBP2,RPL12,RASGRP4,RP11-5C23.1,MTPAP,NMUR1,PPP2R3B,NCOA2
9834,ACTA2,SRPRB,PIGN,MARCKS,TJP2,STX4,LINC00176,FUNDC1
9835,PEX7,EIF4E,ZFP91,P2RX7,TXNDC5,BRCA2,FKBP1B,FZR1
9836,RYBP,AHCYL2,RP5-821D11.7,LAGE3,KBTBD7,RP3-325F22.5,IPO8,TASP1
9837,MON2,FBXL12,LLGL2,SMPD3,SLC29A1,FAM103A1,SDCCAG3,PDCD2L
9838,RP11-290D2.6,SETD1A,NOTCH1,DTX2,TSEN2,TSC22D2,C2orf74,ENOSF1
9839,KBTBD7,GTF2IRD2B,MTMR6,MTMR11,SBF2-AS1,ANKLE2,CTD-2538C1.2,FECH
9840,ZNF117,CENPV,ZNF445,C19orf33,HADH,FOXRED1,INTS2,TUG1
9841,CTC-338M12.6,KLHL36,C2orf69,COPZ1,CTD-2035E11.5,LILRA4,CLCF1,SLC39A6
9842,CDKN2A,ASB6,NRROS,MEN1,KLF7,SAP30,ELMOD2,KLHL20
9843,KCNH8,TMX3,OLIG1,IGSF22,C7orf13,VAV3,AATK,CHPF2
9844,ARHGEF11,SSFA2,MYO6,RTFDC1,ZXDB,WDR73,SYNGAP1,SEC23IP
9845,SNRNP48,HSPBAP1,NR1H3,TMEM8A,ARID3A,ZNF865,DEXI,RAB3GAP1
9846,CYP2U1,GEMIN6,FAM200A,RP11-867G23.8,ZNF624,DENND2C,C12orf29,JMJD4
9847,RP11-326C3.12,CDK18,AC009005.2,RAB11FIP2,PIGX,ABCB10,LINC00309,TRIM56
9848,RP11-493L12.4,KRR1,ASGR2,RP1-28O10.1,SKIV2L2,DYRK1B,BBC3,ST3GAL2
9849,MLEC,USP46,MOSPD2,UBE2C,HERC5,RP11-138A9.1,MON1A,KIAA0430
9850,RP11-973H7.4,RPL34,MFSD1,PATL1,TLE4,BATF,KLRG1,CPSF2
9851,MPP7,PHLDA1,RRNAD1,RNF216,FCRL5,CEBPG,SWI5,PHACTR2
9852,PLS3,FXR2,TLCD1,C16orf80,SLC7A1,SETD5-AS1,ZNF43,ZADH2
9853,GTPBP2,ZBTB21,SRFBP1,SH3BP1,ACSL3,METTL12,OSBPL1A,HERC6
9854,TLR3,C5orf30,NDFIP2,RP11-841O20.2,FZR1,RP11-559M23.1,CCDC151,HPS3
9855,TSPAN5,ZNF646,BRICD5,FAM111A,CYP3A5,ZNF124,RABL2A,ZNF639
9856,ARMCX6,FHL1,GBGT1,EPHX2,MPZL3,MYNN,GPR171,SIGLEC5
9857,R3HCC1,NEK4,FAM127B,C21orf58,TNFRSF17,SLC20A2,ITPRIPL2,TYW1
9858,SDF2L1,WASL,ZNF799,CMTR2,GCLC,CENPT,BBS2,FAM160A2
9859,FRAT1,NCKIPSD,ETF1,VPS8,BICD1,TMEM184C,POMT2,TNFRSF10B
9860,TNIP2,RALGDS,SRC,RP11-514O12.4,SOD2,ADHFE1,UBQLN4,MTF1
9861,TMEM63B,IPCEF1,HSPA6,ZSCAN9,ZNF519,PAIP2B,CPNE8,IL23A
9862,QTRTD1,TMEM44-AS1,VSIG4,SLC25A14,COPS8,GTF2H1,RP11-10L12.4,USP32
9863,RP11-936I5.1,BCKDHB,RFX1,PPP1R16A,RP11-390B4.5,CCDC151,CTB-61M7.2,ZNF195
9864,RHOU,RP11-54O7.11,LINC01137,PGLS,RP11-649E7.5,RP11-734K2.4,SOCS6,NOL10
9865,SLC31A1,TRIM68,ABHD8,CCDC77,SLC2A13,ZNF367,MORC2-AS1,FRYL
9866,TUBG1,FOXP4,TMEM170A,ZFYVE16,ZNF57,DAPK2,LIPT1,KIAA0196
9867,CCDC94,NOL9,PPP2CB,RP11-522I20.3,KDM1B,CROT,ITIH4,MSMO1
9868,ABCA2,SLC25A35,SMAD4,RP11-85A1.3,ZNF764,THBD,ATF2,AKT1S1
9869,TBC1D22B,EOMES,RENBP,PDE4D,DCP1B,MCTP2,CNNM3,GSR
9870,PDE6B,ZNF440,ZGLP1,UBE2S,C5AR2,RFC3,HDAC8,C9orf156
9871,XYLT2,RP5-821D11.7,LRRC40,SAMD4B,DOCK7,SCO1,ZNF169,MICA
9872,FAM122B,PEX11B,SH3RF1,MRPL44,LYPD2,CLK4,CCDC91,CYB561
9873,TBXAS1,SIRPG,TRIM11,B3GNT2,CA11,CHCHD6,DNAJC16,AC013264.2
9874,XPNPEP1,CFLAR,TECR,NT5M,ABCC4,COG6,PBX4,MRPS17-1
9875,LARGE,CDC73,EMG1,RP11-445H22.3,NSF,MYSM1,TSTD3,PAN3
9876,ERC1,IL4R,PHF20,TWF1,MORN4,AFAP1,RPL36AL,CPSF1
9877,PON2,PHF2,PCNX,METTL4,TMEM115,TGFB3,PPIL4,MTHFD1
9878,SNAI3-AS1,ZNF644,RP11-390P2.4,BRF1,RP11-154J22.1,POPDC2,UBLCP1,TBC1D14
9879,CASP6,NOC2L,PIEZO1,ADIPOR2,MVB12B,MAP2K6,FGD4,TMEM57
9880,KIAA0586,CENPN,TTLL3,ACCS,EEF1D,C1orf159,RP11-861A13.4,BRAT1
9881,POLR2D,TLE1,NEUROD2,LINC00996,COMMD3,RP11-473I1.5,DUSP4,TRAF4
9882,ZNRD1-AS1,WIZ,CXorf65,TLR5,STK25,HAUS6,FANCI,FAM126A
9883,ITGA3,COQ3,SOCS4,XXbac-B476C20.9,FAM91A1,PSENEN,INPP5F,AIM2
9884,GRAMD1A,CCR6,LIN37,TMCO6,MSANTD3,CDC42SE2,ANXA2R,MS4A7
9885,ZNF256,ATL2,EPG5,CHCHD4,PEA15,LRCH1,PPP1CC,CBFA2T2
9886,C2orf88,FNBP1,CBFA2T2,FAM89A,SYNE3,RP11-884K10.7,RALGPS1,DIS3L2
9887,FKBP2,KIAA1191,MRP63,C5orf30,SGCE,ZNF362,ZSWIM3,TRMU
9888,ZNF318,MAN2B2,CD96,DTHD1,VMO1,PTCD3,MLH3,DIS3L
9889,RNF169,SETBP1,DHX32,SEC14L1,RSF1,XXbac-BPG252P9.9,CLP1,PI4KA
9890,EED,RP11-265N6.1,LRP1,STX10,MBLAC2,RP11-390E23.6,ZCCHC2,RP11-156E8.1
9891,SSB,SGMS1,NOG,KLF5,COG7,RBM26-AS1,RP11-640M9.1,ITGA5
9892,ZNF202,PITPNC1,HERC5,PLXNC1,C11orf30,ZNF384,MBNL1-AS1,LRRC58
9893,CORO1A,SYT11,WDR59,CTA-217C2.1,ADCY9,PYROXD1,AC120194.1,HINFP
9894,MTRF1L,TMEM120B,DDX6,VAMP4,TNRC18,KCNE3,WDR27,SKA2
9895,IP6K1,TBC1D8,RP11-73K9.2,DHCR7,PID1,CDK5RAP1,USP40,RRM1
9896,MSC,OSBPL2,IVNS1ABP,SENCR,JMJD8,CCDC85B,TSSC4,TMEM120B
9897,MRPS11,ZSCAN30,HSPA9,FAM195A,NPAT,PXMP2,CD28,CPNE2
9898,PROCA1,GS1-124K5.3,TVP23B,PPP1R13B,NAP1L6,DBF4,ZNF575,TET2
9899,PPM1J,RMDN1,PDCD4-AS1,RP11-496I9.1,GNAO1,MGA,KANSL1,C4orf32
9900,LRRC61,PLA2G12A,S100A12,ETV7,TMEM8B,RAB11FIP1,RBM19,MAN1A2
9901,LINC00299,ZNF780B,PELI3,C10orf88,SCGB1C1,TSR1,RFNG,NOP9
9902,SLC12A5,RP11-755B10.4,GPR75-ASB3,COQ9,POLK,RNF216,RP11-285F7.2,ERCC5
9903,AC092295.7,EIF4G3,SPSB2,SSSCA1,ZNF551,CDC45,VPS9D1,FBXO11
9904,DPY19L3,TMEM159,RP11-215P8.3,ZBTB18,ZNRD1-AS1,C6orf136,ACADSB,TOPORS
9905,AIFM1,CARM1,KLHL22,ABT1,TTLL1,CCNJL,CHKB-AS1,ZC3H18
9906,USP21,TJAP1,C19orf82,ZNF33B,HECA,STAM2,FAM160B1,DCAF10
9907,SLC25A23,BCL2L13,NEFH,PEX11G,MAN1A1,DRG2,EIF4H,CDK12
9908,RFESD,ANKRD36C,PPP2R2B,TMEM106A,DCAF12,SLC39A14,THAP8,SERPINB9
9909,PXN-AS1,AP1AR,AC004540.4,POLR1B,MGMT,HCAR3,LMBR1,DLG1
9910,SMAD5,UGDH,FAM104B,ZNF718,LAMP5,PPP1R37,SARS2,ZBTB48
9911,INTS9,NKAPL,GNB5,ACADVL,AGFG1,RP11-96K19.5,BORA,ABCD3
9912,USP11,UBN1,UTP14C,C5orf27,BCL6,RINT1,MNT,DPH7
9913,TMEM60,IVNS1ABP,ESAM,MRGBP,KIF11,WLS,TBCCD1,AP2A2
9914,MIR940,HCG11,PRMT3,UBAP1,CDPF1,MYO10,MSANTD2,PITPNB
9915,ZNF823,ZBTB9,HPSE,CDK11A,OSBPL7,IPPK,TRIM7,MMGT1
9916,MCC,SNRK,NHS,GTF2A2,HPRT1,RP11-117D22.2,PXN-AS1,LYRM7
9917,MERTK,MARCH9,ZKSCAN3,BIRC2,CEP85,BCL9L,CPSF1,TOR1AIP2
9918,COG8,SLC25A16,FBRS,ZNF700,ZNF470,OTUD7B,NCBP2,EHMT1
9919,ACVR1B,ZNF77,CHFR,PLXDC2,PLEKHA5,GPR55,NEXN,DTWD1
9920,MED23,AC025171.1,C2orf40,POLR2E,KIAA1586,PLEKHG2,RP11-553L6.2,RASA1
9921,GMPS,FOXRED1,CLCN3,MON1B,RPEL1,TBC1D19,DGKA,NUFIP2
9922,NDUFAF3,ABHD8,ANTXR2,GS1-124K5.4,SH3BP5L,RP11-20B24.5,SRPK1,SPRYD7
9923,SNX25,AP4M1,TMEM106B,FRS2,CYP27A1,ARHGAP19,TMEM179B,TMEM106A
9924,DNM2,RP5-1028K7.2,RAB2B,RP3-325F22.5,SLFN11,PPP1R21,CCDC117,CDC42EP2
9925,C1orf109,PPOX,POLR2A,PLA2G15,DUSP8,ADAT2,DHX9,ATR
9926,CTNNAL1,RP5-1125A11.1,RANGAP1,RP11-434C1.1,ZNF410,DCLRE1A,CROCC,PLEKHA2
9927,TMEM175,HSPA1A,RAB5A,FSCN3,KIAA0232,HELZ,PGRMC1,EIF3I
9928,TMEM106C,BCL7C,ARHGAP10,PPFIBP2,RP11-297N6.4,MYO5A,TPRG1-AS1,HEXDC
9929,TMEM173,AP3M2,WDR81,RP5-887A10.1,MAPK14,PIP4K2B,CCDC141,ALAS1
9930,SYCE3,PRPF3,C1GALT1C1,C19orf54,MT-ATP6,ASF1B,HINFP,DHX16
9931,ALG1L,CHD2,P2RY6,TNPO2,LINC00894,ELMOD3,CCP110,XRN1
9932,PAPD5,TMEM203,ZNF623,NME8,EXT2,ZNF319,NFXL1,ZMYND8
9933,CA11,PTAFR,TET2,CTC-523E23.1,SPNS3,EXOSC8,NIPSNAP1,ZNF586
9934,OAS3,NECAB3,UBTD2,CHML,GCDH,RP11-798M19.6,TMEM186,WDR48
9935,ECSIT,STAC3,SIGLEC5,SENP3,RP11-117D22.2,FAM111A,LIN7A,GNG10
9936,TGIF1,GLRX2,CCBL2,CLDN5,ZNF687,AKT2,TMEM184C,SUN1
9937,OVCH1-AS1,SPIB,NSMCE2,COL6A2,MTRF1L,HMGB3,PECR,CENPK
9938,SMG6,PDE8B,SYNE2,BFSP1,PELI1,MNAT1,VPS8,METRNL
9939,F2R,NDUFV1,BEX1,SHROOM1,C16orf95,PAPOLG,APPBP2,SLC35A2
9940,PI4K2B,ARL2BP,ATP13A4,LSM14B,RBM4,VPS29,RP11-138A9.2,SLC35E1
9941,LOH12CR2,PPP1R16B,A2M-AS1,RP11-326I11.3,HEMK1,UBIAD1,CNNM2,SYVN1
9942,POLR3D,STRN,NDUFAF1,DHFRL1,FAM213B,EIF2B4,PABPC1L,PANK4
9943,PHLDB2,ZNF559,ALG8,EMB,C12orf44,ANKRD27,FBXO48,MCFD2
9944,ZNF107,ZMPSTE24,NME8,TIMM21,KHDC1,NOC3L,CCNB2,FAM49A
9945,TNRC6B,SMN1,MRPL13,ANKAR,DDX51,RCN3,BANP,TBP
9946,WDR11,CD160,SAMD8,CHRNA1,SMN2,NUDT15,C9orf64,RNASEH2A
9947,ARF5,IARS,TRIM24,DKFZP761J1410,FASN,TEN1,KLK1,ARHGAP26
9948,MXD4,CTB-32O4.2,PVRIG,METAP2,ALG8,SLC35F5,ZNF140,ARHGEF18
9949,ELMOD2,GPX7,SLC24A4,TUBGCP3,GSTM3,CRYM,RWDD2B,NDRG3
9950,AVL9,HIST1H2AE,KRT1,RBBP8,TTC13,ACRBP,RP1-40E16.12,C12orf75
9951,PIGA,ELF2,OLFM2,NACC1,SLC35A5,DPP8,METTL16,GALK2
9952,TEX30,ZBTB25,ZMYND10,PNOC,MYL9,ADAP1,ADSSL1,ZNF672
9953,QSOX2,CYP4V2,USPL1,ABCC1,B3GAT3,LINS,POLM,SYTL3
9954,SIRPA,PHACTR1,YIPF1,NCDN,ATG4C,DOPEY2,TAF12,LPGAT1
9955,USP36,DUSP22,PTPN23,ZNF383,MSRA,FLI1,HIST1H2BJ,SAAL1
9956,G6PC3,MED29,GNG11,DDX55,TMEM42,THAP3,SFMBT1,MUM1
9957,ZNF169,ZNF74,OOEP,PIK3CA,FBXO48,C8orf44,TTLL11,PPP1R17
9958,DENND1B,SPRYD7,CMKLR1,RBM38,COMMD6,NOL10,REEP4,STAU2
9959,ASUN,IKZF4,HCAR3,SIRPA,MLTK,hsa-mir-8072,TMEM191C,TNRC6C
9960,TBC1D14,TDRD7,NAGPA,FLJ27365,ACAD9,EXTL2,CNOT3,DDX59
9961,CERKL,ARFGEF1,CCL3L3,ZNF227,PPP2R1A,MIS18BP1,ALDH6A1,AC027763.2
9962,ZNF304,RP11-10L12.4,RPP25,RP11-452L6.7,TXNDC9,MED12,ZRANB1,WWP2
9963,TAF2,TMEM55A,CSGALNACT1,PDK2,CCDC61,C20orf96,FAM84B,GABPB1
9964,HIST1H4H,RP11-505K9.1,RP11-412D9.4,HLA-DQB2,KIF21A,CTB-43P18.1,ABCA2,APBA2
9965,GAK,DPM2,PLEKHO1,MTX3,DSTYK,SOX4,P2RX5-TAX1BP3,RPAP2
9966,TOB2,UTP15,CLYBL,RCC2,USP12,ZNF397,DARS2,ANAPC7
9967,RP11-661A12.7,APOL2,PPM1D,PDIA5,LY6G5C,LPCAT4,UQCC1,TMEM41A
9968,FNDC3A,AC002116.7,NDUFB1,SMIM19,PHF23,SLC35B2,AC007246.3,EPSTI1
9969,PPP1R37,AP000769.1,APPL2,NENF,TAOK1,C9orf38,LARP4,FAHD1
9970,FAM86A,DDX10,IL21R,CRAT,NUDT16L1,WNT11,PARP3,ADAM28
9971,TOMM22,HEATR3,NECAP2,PSD,ZFP62,DHX57,ZBTB43,RAB11FIP4
9972,PIK3R2,LARP7,FOCAD,ARL6,PPM1B,RPGR,RPL19,MON1B
9973,RILP,FOXN3-AS1,AC006129.2,DNAJC1,ITGB3BP,HMGN5,PEX7,SLC35A1
9974,TXLNA,CYSLTR2,ZNF319,PLEKHA1,KIAA0247,KIF1C,STAP1,WDR70
9975,EML6,LUC7L,FAM208A,PREP,RP11-539L10.3,ZNF7,CHCHD1,ECI1
9976,LIPE-AS1,KIF3B,TCF20,ALS2CR12,NKIRAS2,ZBED4,FBXL20,AAMDC
9977,ZKSCAN3,LENG1,C11orf84,POLG,BRWD3,ZNF585A,AP3B1,ERCC3
9978,KLHL18,ZMAT1,C19orf38,SUGT1,ATP2B1,TRIP10,RAB38,KLRC1
9979,BTBD10,APOPT1,ZNF414,KCTD15,SCARB2,AGL,RP11-536K7.3,SEC24C
9980,ATM,CTBP1-AS2,DGKH,RP11-379K17.12,NBPF1,DHFRL1,RP11-798M19.6,ATG4C
9981,FAM222B,ZNF426,RP1-244F24.1,CCDC6,DIS3,STAM,PEMT,DYM
9982,AP5S1,TECPR1,PIGP,SCAF4,FAM211A,CDPF1,C19orf47,RPTOR
9983,C12orf42,EDA,RAP2A,ZNF552,WBP4,TBC1D13,YAE1D1,TNPO1
9984,PSMC1,PGM2,RRP36,AGPAT2,PIEZO1,PLK1,MCM9,TMEM2
9985,EREG,RP11-17M16.1,MRPL43,GINS2,SLAMF8,GPR56,C5orf15,ZNF644
9986,CD99L2,OTOA,RP11-388M20.1,STAMBP,NFKBIE,PPP1R12B,SIGLEC12,MARK2
9987,SIGLEC7,MICU2,TAF5L,RP11-326C3.15,C15orf57,SPSB1,AC144652.1,FBXW7
9988,BBS10,CD226,VASH1,RP11-430B1.2,TAOK2,GTSF1,CEP192,KEAP1
9989,SPTY2D1,RTP4,ENTPD5,MTSS1,GPR180,SGOL2,ZBTB32,IFFO1
9990,RPRD1B,CD200R1,PTPN2,PSMD10,SETD7,LRBA,PTPRJ,INO80
9991,BCORL1,RPL18,DUSP3,FZD6,IRF5,SNX25,HSPA14,FEM1B
9992,CCDC130,HOXA-AS2,NLK,TBL3,SKAP2,IQCE,L3MBTL3,TAMM41
9993,MAP2K3,C2orf76,AC040977.1,C10orf11,OLIG1,DOHH,MTA2,CMTR2
9994,TMEM9,ULK4,RP11-467D6.1,MOSPD3,TRAPPC11,ANXA11,RAB11FIP4,NUP85
9995,ZBED1,PRRT1,CTC-301O7.4,RP11-192H23.6,AUTS2,CIAPIN1,LIG1,IFNG
9996,RAMP1,CCNT1,IL6ST,KAT5,TNFAIP8L1,ANKRD42,PDZK1IP1,ZMYM5
9997,CXCL2,DNASE1,GLIPR1,HYAL2,SOCS5,PMS1,CARHSP1,MPHOSPH9
9998,DHRS12,TPTEP1,CTDSPL2,UBA1,KYNU,TMEM163,CRIPT,GNAI3
9999,GCLC,TFDP2,ANK3,CHD7,SAMD4A,RP11-817O13.8,EPHA1-AS1,FCRL1
10000,DYNC2LI1,KIF21B,IPPK,TMEM97,NUP88,RSRC1,RBAK,NFKBIE
10001,RP11-154J22.1,IFNAR2,NTAN1,TMEM65,MSH2,PLXNC1,VTA1,RAP1GAP2
